strain	region	country
Japan/IC-1309/2021	Asia	Japan
Japan/IC-1308/2021	Asia	Japan
Albania/210901064/2021	Europe	Albania
Albania/210901061/2021	Europe	Albania
Albania/210901059/2021	Europe	Albania
Albania/210901071/2021	Europe	Albania
Albania/210901048/2021	Europe	Albania
Albania/210901066/2021	Europe	Albania
Albania/210901070/2021	Europe	Albania
Albania/210901063/2021	Europe	Albania
Albania/210901073/2021	Europe	Albania
Albania/211060667/2021	Europe	Albania
Albania/210901077/2021	Europe	Albania
Albania/210901076/2021	Europe	Albania
Albania/210901062/2021	Europe	Albania
Albania/210901075/2021	Europe	Albania
Argentina/PAIS-E0224/2021	South America	Argentina
Argentina/PAIS-E0223/2021	South America	Argentina
Argentina/PAIS-E0221/2021	South America	Argentina
Argentina/PAIS-E0246/2021	South America	Argentina
Argentina/PAIS-E0243/2021	South America	Argentina
Argentina/INEI104698/2021	South America	Argentina
Argentina/INEI104692/2021	South America	Argentina
Argentina/INEI104339/2021	South America	Argentina
Argentina/INEI104716/2021	South America	Argentina
Argentina/INEI104528/2021	South America	Argentina
Argentina/INEI104129/2021	South America	Argentina
Argentina/INEI103356/2021	South America	Argentina
Argentina/INEI104593/2021	South America	Argentina
Argentina/PAIS-E0201/2021	South America	Argentina
Argentina/INEI104661/2021	South America	Argentina
Argentina/INEI103281/2021	South America	Argentina
Argentina/PAIS-A0470/2021	South America	Argentina
Argentina/INEI104662/2021	South America	Argentina
Argentina/INEI104666/2021	South America	Argentina
Argentina/INEI104751/2021	South America	Argentina
Argentina/INEI103292/2021	South America	Argentina
Argentina/INEI104053/2021	South America	Argentina
Argentina/INEI103418/2021	South America	Argentina
Argentina/INEI103362/2021	South America	Argentina
Argentina/INEI104527/2021	South America	Argentina
Argentina/INEI103266/2021	South America	Argentina
Argentina/INEI103267/2021	South America	Argentina
Argentina/INEI103268/2021	South America	Argentina
Argentina/INEI104091/2021	South America	Argentina
Argentina/INEI104652/2021	South America	Argentina
Argentina/INEI104518/2021	South America	Argentina
Argentina/INEI104340/2021	South America	Argentina
Argentina/INEI104491/2021	South America	Argentina
Argentina/INEI104297/2021	South America	Argentina
Argentina/INEI104243/2021	South America	Argentina
Argentina/INEI104269/2021	South America	Argentina
Argentina/INEI104240/2021	South America	Argentina
Argentina/INEI104253/2021	South America	Argentina
Argentina/INEI104436/2021	South America	Argentina
Argentina/INEI104410/2021	South America	Argentina
Argentina/INEI104389/2021	South America	Argentina
Argentina/INEI104387/2021	South America	Argentina
Argentina/INEIINBIRS-41/2021	South America	Argentina
